Date,gross_return,cost_return,net_return,nav,turnover_fraction,traded_notional_usd,impact_cost_return,fixed_cost_return,participation_fill_fraction,order_deferred,rebalance_session,risk_weight_sum,cash_weight,sleeves_held,book_live
2018-04-19,-0.003891204288595004,0.0,-0.003891204288595004,1.6195566707768825,0.0,0.0,0.0,0.0,1.0,False,False,0.753729429906427,0.24627057009357295,11,True
2018-04-20,-0.0045187951996692646,0.0,-0.0045187951996692646,1.6122382258673835,0.0,0.0,0.0,0.0,1.0,False,False,0.7527006149634246,0.24729938503657548,11,True
2018-04-23,-0.001402657030159325,0.0,-0.001402657030159325,1.609976808585579,0.0,0.0,0.0,0.0,1.0,False,False,0.7523829983971618,0.2476170016028382,11,True
2018-04-24,-0.0027214678001242247,0.0,-0.0027214678001242247,1.6055953085420664,0.0,0.0,0.0,0.0,1.0,False,False,0.7516476543654319,0.24835234563456812,11,True
2018-04-25,-0.0021523229741448884,0.0,-0.0021523229741448884,1.602139548872312,0.0,0.0,0.0,0.0,1.0,False,False,0.7511418265218546,0.2488581734781454,11,True
2018-04-26,0.004005219070527653,0.0,0.004005219070527653,1.6085564687471021,0.0,0.0,0.0,0.0,1.0,False,False,0.7520899384335114,0.24791006156648868,11,True
2018-04-27,0.002345945321404715,0.0,0.002345945321404715,1.6123300542691748,0.0,0.0,0.0,0.0,1.0,False,False,0.75259588573516,0.24740411426484005,11,True
2018-04-30,-0.0022134811239493844,0.0,-0.0022134811239493844,1.6087611921284737,0.0,0.0,0.0,0.0,1.0,False,False,0.7521363873225279,0.24786361267747217,11,True
2018-05-01,-0.0017701752660625532,2.8948209029243873e-05,-0.001799123475091797,1.6058668321018987,0.07389397107641474,11887775.299999995,1.0474716260140192e-05,1.8473492769103683e-05,0.14212338707885083,True,True,0.7148600170628749,0.2851399829371251,11,True
2018-05-02,-0.0009917288867033651,2.9060567699523688e-05,-0.0010207894544028888,1.6042275801745138,0.07415357522729593,11908076.693928758,1.0522173892699704e-05,1.8538393806823984e-05,0.16625522385188246,True,False,0.677460339836673,0.32253966016332697,11,True
2018-05-03,0.0010950800469100752,2.9149146348396365e-05,0.001065930900561679,1.605937575923755,0.07436214726356924,11929380.756121652,1.0558609532504056e-05,1.859053681589231e-05,0.19948221390579002,True,False,0.6405293117019196,0.3594706882980804,11,True
2018-05-04,0.003300167867847654,2.9075667257561872e-05,0.003271092200590092,1.6111907458029937,0.07419771741673885,11915690.24473134,1.0526237903377161e-05,1.854942935418471e-05,0.2467495619443074,True,False,0.6048289307131749,0.3951710692868251,11,True
2018-05-07,0.0003907773339213255,2.8009550343838277e-05,0.00036276778357748724,1.6117752338987694,0.07166439200606989,11546500.520377785,1.0093452342320803e-05,1.7916098001517474e-05,0.3149766178502621,True,False,0.5693467005767314,0.4306532994232686,11,True
2018-05-08,0.0006426783196552804,2.8960842900838964e-05,0.0006137174767544414,1.612764408528413,0.07394522494208555,11918308.222672705,1.0474536665317574e-05,1.848630623552139e-05,0.47428570007144083,True,False,0.532719556753185,0.46728044324681495,11,True
2018-05-09,0.0014961680716913972,2.903726321948993e-05,0.0014671308084719071,1.6151305448789721,0.0744244134563828,12002904.514805727,1.0431159855394227e-05,1.8606103364095702e-05,0.8823162657888649,True,False,0.49675862541001625,0.5032413745899837,11,True
2018-05-10,0.004023914519590518,4.300328108369473e-06,0.004019614191482149,1.6216227465382638,0.01396769342669011,2255964.8294952437,8.084047516969456e-07,3.4919233566725276e-06,1.0,False,False,0.4918428524523879,0.5081571475476121,11,True
