Episode,Symbol,Contribution
2011-05-02 to 2012-11-15,6B,-0.016823844264016046
2011-05-02 to 2012-11-15,FCE,-0.009810319678072145
2011-05-02 to 2012-11-15,HO,-0.009710306863092181
2011-05-02 to 2012-11-15,PL,-0.0095105738472086
2011-05-02 to 2012-11-15,6A,-0.008395742004626991
2011-05-02 to 2012-11-15,6C,-0.008023316284165487
2011-05-02 to 2012-11-15,SI,-0.0075555944827671185
2011-05-02 to 2012-11-15,SNK,-0.0072698163640718075
2011-05-02 to 2012-11-15,HG,-0.007135685299318824
2011-05-02 to 2012-11-15,ZM,-0.006596164116247459
2011-05-02 to 2012-11-15,KE,-0.006444134895806875
2011-05-02 to 2012-11-15,SXF,-0.006397699014213522
2011-05-02 to 2012-11-15,GAS,-0.006377481036578746
2011-05-02 to 2012-11-15,RTY,-0.006215448275775911
2011-05-02 to 2012-11-15,NKD,-0.006021935424861051
2011-05-02 to 2012-11-15,HTW,-0.00595250834158866
2011-05-02 to 2012-11-15,6E,-0.005801417395199919
2011-05-02 to 2012-11-15,BRN,-0.00551317426523232
2011-05-02 to 2012-11-15,CC,-0.005495700203433643
2011-05-02 to 2012-11-15,EMD,-0.00520902105160141
2011-05-02 to 2012-11-15,6M,-0.005173426521453313
2011-05-02 to 2012-11-15,LE,-0.004505592112250401
2011-05-02 to 2012-11-15,ZW,-0.004194524686629117
2011-05-02 to 2012-11-15,SB,-0.004112677577603883
2011-05-02 to 2012-11-15,ZC,-0.0038933156617873017
2011-05-02 to 2012-11-15,PA,-0.0028014451716095934
2011-05-02 to 2012-11-15,NQ,-0.0027305542883077454
2011-05-02 to 2012-11-15,6N,-0.002316606100182513
2011-05-02 to 2012-11-15,ES,-0.0022396594494536663
2011-05-02 to 2012-11-15,FESX,-0.0021186998384463986
2011-05-02 to 2012-11-15,FDAX,-0.0018311662565596164
2011-05-02 to 2012-11-15,FGBS,-0.0013261075488761934
2011-05-02 to 2012-11-15,LFT,-0.0009485961101536296
2011-05-02 to 2012-11-15,FSMI,-0.0007725180568012971
2011-05-02 to 2012-11-15,ZL,-2.600934588315852e-05
2011-05-02 to 2012-11-15,ZT,2.2539975014739735e-06
2011-05-02 to 2012-11-15,YAP,0.0003721451221739569
2011-05-02 to 2012-11-15,YM,0.0009785156167920052
2011-05-02 to 2012-11-15,GC,0.0010449285623430685
2011-05-02 to 2012-11-15,CT,0.0024054866455586036
2011-05-02 to 2012-11-15,SJB,0.0041559271500940164
2011-05-02 to 2012-11-15,ZF,0.004256893190433879
2011-05-02 to 2012-11-15,GF,0.00476381516548686
2011-05-02 to 2012-11-15,6S,0.004870742815527411
2011-05-02 to 2012-11-15,NG,0.004906647587296521
2011-05-02 to 2012-11-15,RB,0.005203564455994003
2011-05-02 to 2012-11-15,6J,0.006145357681906011
2011-05-02 to 2012-11-15,FGBM,0.006953821040011736
2011-05-02 to 2012-11-15,RS,0.007638318689560029
2011-05-02 to 2012-11-15,KC,0.008525590532078943
2011-05-02 to 2012-11-15,HE,0.008575637893821366
2011-05-02 to 2012-11-15,ZB,0.009140546381980256
2011-05-02 to 2012-11-15,CGB,0.00926182478840594
2011-05-02 to 2012-11-15,ZN,0.009675809204362838
2011-05-02 to 2012-11-15,FGBL,0.010828157011608032
2011-05-02 to 2012-11-15,FGBX,0.011278644499483554
2011-05-02 to 2012-11-15,LLG,0.013199939979711202
2006-04-27 to 2006-12-01,SB,-0.010169270974716626
2006-04-27 to 2006-12-01,ZB,-0.007346944689268662
2006-04-27 to 2006-12-01,ZL,-0.0069046311716903465
2006-04-27 to 2006-12-01,RS,-0.00681232340577291
2006-04-27 to 2006-12-01,ZF,-0.006812312003367683
2006-04-27 to 2006-12-01,ZM,-0.00645397347780819
2006-04-27 to 2006-12-01,CGB,-0.0063442466701493705
2006-04-27 to 2006-12-01,FGBL,-0.006255187897529357
2006-04-27 to 2006-12-01,ZN,-0.005845036205680687
2006-04-27 to 2006-12-01,ZS,-0.005707101582134806
2006-04-27 to 2006-12-01,CC,-0.005360279393346199
2006-04-27 to 2006-12-01,KC,-0.0047667213041203155
2006-04-27 to 2006-12-01,ZC,-0.004677478102566356
2006-04-27 to 2006-12-01,6B,-0.00425323113367619
2006-04-27 to 2006-12-01,ZT,-0.004040827706073022
2006-04-27 to 2006-12-01,FGBM,-0.003520305628503325
2006-04-27 to 2006-12-01,6A,-0.00326720844850884
2006-04-27 to 2006-12-01,ZW,-0.0030915785478956475
2006-04-27 to 2006-12-01,LFT,-0.0025267555092970133
2006-04-27 to 2006-12-01,6E,-0.0023367531233629965
2006-04-27 to 2006-12-01,NKD,-0.002315693809116355
2006-04-27 to 2006-12-01,SNK,-0.0023140496992883584
2006-04-27 to 2006-12-01,FCE,-0.0011611112252159525
2006-04-27 to 2006-12-01,6S,-0.0010628972827757496
2006-04-27 to 2006-12-01,LLG,-0.0009945624261854082
2006-04-27 to 2006-12-01,6M,-0.0009039447861914911
2006-04-27 to 2006-12-01,HG,-0.0008846498962229654
2006-04-27 to 2006-12-01,PA,-0.0008246990717099183
2006-04-27 to 2006-12-01,SJB,-0.0007462205057182028
2006-04-27 to 2006-12-01,SI,-0.0005836655161708726
2006-04-27 to 2006-12-01,FGBS,-0.0005800980467245611
2006-04-27 to 2006-12-01,FESX,-0.0005531368063713149
2006-04-27 to 2006-12-01,HE,-0.0003199824618950735
2006-04-27 to 2006-12-01,NG,-0.00029412273461562036
2006-04-27 to 2006-12-01,6C,-0.00025425325153037223
2006-04-27 to 2006-12-01,NQ,-0.0002330217674622701
2006-04-27 to 2006-12-01,FGBX,-2.2623369056789615e-05
2006-04-27 to 2006-12-01,YM,0.0
2006-04-27 to 2006-12-01,6N,0.0
2006-04-27 to 2006-12-01,SXF,0.0
2006-04-27 to 2006-12-01,RTY,0.0
2006-04-27 to 2006-12-01,FDAX,0.0
2006-04-27 to 2006-12-01,RB,0.0
2006-04-27 to 2006-12-01,PL,0.0
2006-04-27 to 2006-12-01,GC,0.0
2006-04-27 to 2006-12-01,ES,0.0
2006-04-27 to 2006-12-01,EMD,0.0
2006-04-27 to 2006-12-01,FSMI,0.00015883002400859144
2006-04-27 to 2006-12-01,BRN,0.00016950070861708146
2006-04-27 to 2006-12-01,KE,0.00035660762692402793
2006-04-27 to 2006-12-01,YAP,0.0008158951029143375
2006-04-27 to 2006-12-01,6J,0.0018094347692567023
2006-04-27 to 2006-12-01,LE,0.002719002851586273
2006-04-27 to 2006-12-01,HTW,0.0035086785235875647
2006-04-27 to 2006-12-01,GAS,0.004054377185457637
2006-04-27 to 2006-12-01,HO,0.005527660905660285
2006-04-27 to 2006-12-01,CT,0.00562355781805031
2006-04-27 to 2006-12-01,GF,0.005937127389126181
2006-04-27 to 2006-12-01,CL,0.007269375616983294
1992-01-09 to 1992-03-13,ZF,-0.01683321282648741
1992-01-09 to 1992-03-13,ZN,-0.011179536900334412
1992-01-09 to 1992-03-13,ZB,-0.010242626622558414
1992-01-09 to 1992-03-13,LLG,-0.009257663958755599
1992-01-09 to 1992-03-13,6J,-0.00901375242179878
1992-01-09 to 1992-03-13,LE,-0.008987559181482894
1992-01-09 to 1992-03-13,6C,-0.008396862386619793
1992-01-09 to 1992-03-13,BRN,-0.008299867559630757
1992-01-09 to 1992-03-13,ZT,-0.00770003645581442
1992-01-09 to 1992-03-13,ZL,-0.007431944427404299
1992-01-09 to 1992-03-13,HG,-0.005856302795180515
1992-01-09 to 1992-03-13,ZC,-0.005450969378893604
1992-01-09 to 1992-03-13,YAP,-0.0040192470913970445
1992-01-09 to 1992-03-13,HO,-0.003206659925497401
1992-01-09 to 1992-03-13,SB,-0.002611161477637656
